datatype,description,mutable,syntax
bool,Boolean value,immutable,"True 
 False"
bytearray,Sequence of bytes,mutable,"bytearray(b'Some ASCII') 
 bytearray(b""Some ASCII"") 
 bytearray([119, 105, 107, 105])"
bytes,Sequence of bytes,immutable,"b'Some ASCII' 
 b""Some ASCII"" 
 bytes([119, 105, 107, 105])"
complex,Complex number with real and imaginary parts,immutable,3+2.7j
dict,"Associative array (or dictionary) of key and value pairs; can contain mixed types (keys and values), keys must be a hashable type",mutable,"{'key1': 1.0, 3: False}"
ellipsis,An ellipsis placeholder to be used as an index in NumPy arrays,,...
float,"Floating point number, system-defined precision",immutable,3.1415927
frozenset,"Unordered set, contains no duplicates; can contain mixed types, if hashable",immutable,"frozenset([4.0, 'string', True])"
int,Integer of unlimited magnitude[76],immutable,42
list,"List, can contain mixed types",mutable,"[4.0, 'string', True]"
set,"Unordered set, contains no duplicates; can contain mixed types, if hashable",mutable,"{4.0, 'string', True}"
str,A character string: sequence of Unicode codepoints,immutable,"'Wikipedia' 
 ""Wikipedia"" 
 """"""Spanning 
multiple 
lines"""""""
tuple,Can contain mixed types,immutable,"(4.0, 'string', True) But we can append elements using __add__ .
 a = (4.0, 'string' , True).__add__(('hi' ,)) 
 now a gives  (4.0, 'string', True ,'hi') 
"
